group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Classification,Small/Linfa,,,,1252417.0,ns,2
Support Vector Classification,Small/Linfa,,,,2321432.0,ns,4
Support Vector Classification,Small/Linfa,,,,3548548.0,ns,6
Support Vector Classification,Small/Linfa,,,,4642264.0,ns,8
Support Vector Classification,Small/Linfa,,,,6153785.0,ns,10
Support Vector Classification,Small/Linfa,,,,7406201.0,ns,12
Support Vector Classification,Small/Linfa,,,,8551118.0,ns,14
Support Vector Classification,Small/Linfa,,,,9872135.0,ns,16
Support Vector Classification,Small/Linfa,,,,13782389.0,ns,18
Support Vector Classification,Small/Linfa,,,,12362069.0,ns,20
Support Vector Classification,Small/Linfa,,,,12621573.0,ns,22
Support Vector Classification,Small/Linfa,,,,14297796.0,ns,24
Support Vector Classification,Small/Linfa,,,,15677415.0,ns,26
Support Vector Classification,Small/Linfa,,,,16418225.0,ns,28
Support Vector Classification,Small/Linfa,,,,18795458.0,ns,30
Support Vector Classification,Small/Linfa,,,,19596368.0,ns,32
Support Vector Classification,Small/Linfa,,,,19519367.0,ns,34
Support Vector Classification,Small/Linfa,,,,22227305.0,ns,36
Support Vector Classification,Small/Linfa,,,,22168004.0,ns,38
Support Vector Classification,Small/Linfa,,,,28536092.0,ns,40
Support Vector Classification,Small/Linfa,,,,26421462.0,ns,42
Support Vector Classification,Small/Linfa,,,,25200446.0,ns,44
Support Vector Classification,Small/Linfa,,,,27851782.0,ns,46
Support Vector Classification,Small/Linfa,,,,29783908.0,ns,48
Support Vector Classification,Small/Linfa,,,,35990594.0,ns,50
Support Vector Classification,Small/Linfa,,,,35684989.0,ns,52
Support Vector Classification,Small/Linfa,,,,32809650.0,ns,54
Support Vector Classification,Small/Linfa,,,,32087240.0,ns,56
Support Vector Classification,Small/Linfa,,,,33287957.0,ns,58
Support Vector Classification,Small/Linfa,,,,43174492.0,ns,60
Support Vector Classification,Small/Linfa,,,,36285697.0,ns,62
Support Vector Classification,Small/Linfa,,,,39559242.0,ns,64
Support Vector Classification,Small/Linfa,,,,37882519.0,ns,66
Support Vector Classification,Small/Linfa,,,,42189578.0,ns,68
Support Vector Classification,Small/Linfa,,,,41191565.0,ns,70
Support Vector Classification,Small/Linfa,,,,42041276.0,ns,72
Support Vector Classification,Small/Linfa,,,,42439782.0,ns,74
Support Vector Classification,Small/Linfa,,,,44361009.0,ns,76
Support Vector Classification,Small/Linfa,,,,47593252.0,ns,78
Support Vector Classification,Small/Linfa,,,,47908257.0,ns,80
Support Vector Classification,Small/Linfa,,,,47017645.0,ns,82
Support Vector Classification,Small/Linfa,,,,49529479.0,ns,84
Support Vector Classification,Small/Linfa,,,,49351977.0,ns,86
Support Vector Classification,Small/Linfa,,,,53212629.0,ns,88
Support Vector Classification,Small/Linfa,,,,52651021.0,ns,90
Support Vector Classification,Small/Linfa,,,,54792051.0,ns,92
Support Vector Classification,Small/Linfa,,,,54628849.0,ns,94
Support Vector Classification,Small/Linfa,,,,59726919.0,ns,96
Support Vector Classification,Small/Linfa,,,,57359386.0,ns,98
Support Vector Classification,Small/Linfa,,,,62913363.0,ns,100
Support Vector Classification,Small/Linfa,,,,59850820.0,ns,102
Support Vector Classification,Small/Linfa,,,,87714102.0,ns,104
Support Vector Classification,Small/Linfa,,,,62237553.0,ns,106
Support Vector Classification,Small/Linfa,,,,62678559.0,ns,108
Support Vector Classification,Small/Linfa,,,,66261208.0,ns,110
Support Vector Classification,Small/Linfa,,,,68107533.0,ns,112
Support Vector Classification,Small/Linfa,,,,65393797.0,ns,114
Support Vector Classification,Small/Linfa,,,,71901786.0,ns,116
Support Vector Classification,Small/Linfa,,,,72332191.0,ns,118
Support Vector Classification,Small/Linfa,,,,72658096.0,ns,120
Support Vector Classification,Small/Linfa,,,,69976759.0,ns,122
Support Vector Classification,Small/Linfa,,,,87273397.0,ns,124
Support Vector Classification,Small/Linfa,,,,77584463.0,ns,126
Support Vector Classification,Small/Linfa,,,,75025832.0,ns,128
Support Vector Classification,Small/Linfa,,,,80664712.0,ns,130
Support Vector Classification,Small/Linfa,,,,79141890.0,ns,132
Support Vector Classification,Small/Linfa,,,,85809382.0,ns,134
Support Vector Classification,Small/Linfa,,,,77921574.0,ns,136
Support Vector Classification,Small/Linfa,,,,79738499.0,ns,138
Support Vector Classification,Small/Linfa,,,,81777627.0,ns,140
Support Vector Classification,Small/Linfa,,,,86515892.0,ns,142
Support Vector Classification,Small/Linfa,,,,84944670.0,ns,144
Support Vector Classification,Small/Linfa,,,,88708622.0,ns,146
Support Vector Classification,Small/Linfa,,,,87013899.0,ns,148
Support Vector Classification,Small/Linfa,,,,87206102.0,ns,150
Support Vector Classification,Small/Linfa,,,,106051662.0,ns,152
Support Vector Classification,Small/Linfa,,,,90471047.0,ns,154
Support Vector Classification,Small/Linfa,,,,89380932.0,ns,156
Support Vector Classification,Small/Linfa,,,,100109180.0,ns,158
Support Vector Classification,Small/Linfa,,,,91736765.0,ns,160
