group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Classification,Small/Linfa,,,,1361021.0,ns,2
Support Vector Classification,Small/Linfa,,,,2922762.0,ns,4
Support Vector Classification,Small/Linfa,,,,4119869.0,ns,6
Support Vector Classification,Small/Linfa,,,,5772217.0,ns,8
Support Vector Classification,Small/Linfa,,,,6666396.0,ns,10
Support Vector Classification,Small/Linfa,,,,8513162.0,ns,12
Support Vector Classification,Small/Linfa,,,,9508450.0,ns,14
Support Vector Classification,Small/Linfa,,,,10671155.0,ns,16
Support Vector Classification,Small/Linfa,,,,12001274.0,ns,18
Support Vector Classification,Small/Linfa,,,,13329893.0,ns,20
Support Vector Classification,Small/Linfa,,,,15130454.0,ns,22
Support Vector Classification,Small/Linfa,,,,16634788.0,ns,24
Support Vector Classification,Small/Linfa,,,,18228231.0,ns,26
Support Vector Classification,Small/Linfa,,,,20162204.0,ns,28
Support Vector Classification,Small/Linfa,,,,21292105.0,ns,30
Support Vector Classification,Small/Linfa,,,,21355710.0,ns,32
Support Vector Classification,Small/Linfa,,,,33104062.0,ns,34
Support Vector Classification,Small/Linfa,,,,24036951.0,ns,36
Support Vector Classification,Small/Linfa,,,,26889706.0,ns,38
Support Vector Classification,Small/Linfa,,,,26692388.0,ns,40
Support Vector Classification,Small/Linfa,,,,29905476.0,ns,42
Support Vector Classification,Small/Linfa,,,,29730960.0,ns,44
Support Vector Classification,Small/Linfa,,,,33367885.0,ns,46
Support Vector Classification,Small/Linfa,,,,32871242.0,ns,48
Support Vector Classification,Small/Linfa,,,,36349053.0,ns,50
Support Vector Classification,Small/Linfa,,,,34681203.0,ns,52
Support Vector Classification,Small/Linfa,,,,39334419.0,ns,54
Support Vector Classification,Small/Linfa,,,,38416338.0,ns,56
Support Vector Classification,Small/Linfa,,,,41419107.0,ns,58
Support Vector Classification,Small/Linfa,,,,40065085.0,ns,60
Support Vector Classification,Small/Linfa,,,,43534696.0,ns,62
Support Vector Classification,Small/Linfa,,,,45334856.0,ns,64
Support Vector Classification,Small/Linfa,,,,44013038.0,ns,66
Support Vector Classification,Small/Linfa,,,,48251417.0,ns,68
Support Vector Classification,Small/Linfa,,,,47238427.0,ns,70
Support Vector Classification,Small/Linfa,,,,48059000.0,ns,72
Support Vector Classification,Small/Linfa,,,,57727966.0,ns,74
Support Vector Classification,Small/Linfa,,,,51515609.0,ns,76
Support Vector Classification,Small/Linfa,,,,54700394.0,ns,78
Support Vector Classification,Small/Linfa,,,,56334741.0,ns,80
Support Vector Classification,Small/Linfa,,,,59797751.0,ns,82
Support Vector Classification,Small/Linfa,,,,57786771.0,ns,84
Support Vector Classification,Small/Linfa,,,,57479943.0,ns,86
Support Vector Classification,Small/Linfa,,,,62999837.0,ns,88
