group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Classification,Small/Smart,,,,1285016.0,ns,3
Support Vector Classification,Small/Smart,,,,2527633.0,ns,6
Support Vector Classification,Small/Smart,,,,5068766.0,ns,9
Support Vector Classification,Small/Smart,,,,2334731.0,ns,12
Support Vector Classification,Small/Smart,,,,6605986.0,ns,15
Support Vector Classification,Small/Smart,,,,8289107.0,ns,18
Support Vector Classification,Small/Smart,,,,9680626.0,ns,21
Support Vector Classification,Small/Smart,,,,10291934.0,ns,24
Support Vector Classification,Small/Smart,,,,13285572.0,ns,27
Support Vector Classification,Small/Smart,,,,12896167.0,ns,30
Support Vector Classification,Small/Smart,,,,7557398.0,ns,33
Support Vector Classification,Small/Smart,,,,16061808.0,ns,36
Support Vector Classification,Small/Smart,,,,19790957.0,ns,39
Support Vector Classification,Small/Smart,,,,20041960.0,ns,42
Support Vector Classification,Small/Smart,,,,21345077.0,ns,45
Support Vector Classification,Small/Smart,,,,14129684.0,ns,48
Support Vector Classification,Small/Smart,,,,13504775.0,ns,51
Support Vector Classification,Small/Smart,,,,12487462.0,ns,54
Support Vector Classification,Small/Smart,,,,25713834.0,ns,57
Support Vector Classification,Small/Smart,,,,23070799.0,ns,60
Support Vector Classification,Small/Smart,,,,28710572.0,ns,63
Support Vector Classification,Small/Smart,,,,16260510.0,ns,66
Support Vector Classification,Small/Smart,,,,22911397.0,ns,69
Support Vector Classification,Small/Smart,,,,33462134.0,ns,72
Support Vector Classification,Small/Smart,,,,33021428.0,ns,75
Support Vector Classification,Small/Smart,,,,18179536.0,ns,78
Support Vector Classification,Small/Smart,,,,34480647.0,ns,81
Support Vector Classification,Small/Smart,,,,35430959.0,ns,84
Support Vector Classification,Small/Smart,,,,39615214.0,ns,87
Support Vector Classification,Small/Smart,,,,43774868.0,ns,90
Support Vector Classification,Small/Smart,,,,40394924.0,ns,93
Support Vector Classification,Small/Smart,,,,49085336.0,ns,96
Support Vector Classification,Small/Smart,,,,44484177.0,ns,99
Support Vector Classification,Small/Smart,,,,31591209.0,ns,102
Support Vector Classification,Small/Smart,,,,25767934.0,ns,105
Support Vector Classification,Small/Smart,,,,56030426.0,ns,108
Support Vector Classification,Small/Smart,,,,29981188.0,ns,111
Support Vector Classification,Small/Smart,,,,39563013.0,ns,114
Support Vector Classification,Small/Smart,,,,35473660.0,ns,117
Support Vector Classification,Small/Smart,,,,56343731.0,ns,120
Support Vector Classification,Small/Smart,,,,58549259.0,ns,123
Support Vector Classification,Small/Smart,,,,42578252.0,ns,126
Support Vector Classification,Small/Smart,,,,56822037.0,ns,129
Support Vector Classification,Small/Smart,,,,32076116.0,ns,132
Support Vector Classification,Small/Smart,,,,29039476.0,ns,135
Support Vector Classification,Small/Smart,,,,38142895.0,ns,138
Support Vector Classification,Small/Smart,,,,67657677.0,ns,141
Support Vector Classification,Small/Smart,,,,35446459.0,ns,144
Support Vector Classification,Small/Smart,,,,63733226.0,ns,147
Support Vector Classification,Small/Smart,,,,47534917.0,ns,150
Support Vector Classification,Small/Smart,,,,33655536.0,ns,153
Support Vector Classification,Small/Smart,,,,43482663.0,ns,156
Support Vector Classification,Small/Smart,,,,49360940.0,ns,159
Support Vector Classification,Small/Smart,,,,76358990.0,ns,162
Support Vector Classification,Small/Smart,,,,84222292.0,ns,165
Support Vector Classification,Small/Smart,,,,50405453.0,ns,168
Support Vector Classification,Small/Smart,,,,77477405.0,ns,171
Support Vector Classification,Small/Smart,,,,43000658.0,ns,174
Support Vector Classification,Small/Smart,,,,80365942.0,ns,177
Support Vector Classification,Small/Smart,,,,51254365.0,ns,180
Support Vector Classification,Small/Smart,,,,87110730.0,ns,183
Support Vector Classification,Small/Smart,,,,61688800.0,ns,186
Support Vector Classification,Small/Smart,,,,56621834.0,ns,189
Support Vector Classification,Small/Smart,,,,83808386.0,ns,192
Support Vector Classification,Small/Smart,,,,71788930.0,ns,195
Support Vector Classification,Small/Smart,,,,96495651.0,ns,198
Support Vector Classification,Small/Smart,,,,73684956.0,ns,201
Support Vector Classification,Small/Smart,,,,97916069.0,ns,204
Support Vector Classification,Small/Smart,,,,62034204.0,ns,207
Support Vector Classification,Small/Smart,,,,102573746.0,ns,210
Support Vector Classification,Small/Smart,,,,94425117.0,ns,213
Support Vector Classification,Small/Smart,,,,76256063.0,ns,216
Support Vector Classification,Small/Smart,,,,49913397.0,ns,219
Support Vector Classification,Small/Smart,,,,90231858.0,ns,222
Support Vector Classification,Small/Smart,,,,97839364.0,ns,225
Support Vector Classification,Small/Smart,,,,118454553.0,ns,228
Support Vector Classification,Small/Smart,,,,62516172.0,ns,231
Support Vector Classification,Small/Smart,,,,104983172.0,ns,234
Support Vector Classification,Small/Smart,,,,77360199.0,ns,237
Support Vector Classification,Small/Smart,,,,92763817.0,ns,240
Support Vector Classification,Small/Smart,,,,112920904.0,ns,243
Support Vector Classification,Small/Smart,,,,119832202.0,ns,246
Support Vector Classification,Small/Smart,,,,71982723.0,ns,249
Support Vector Classification,Small/Smart,,,,118778087.0,ns,252
Support Vector Classification,Small/Smart,,,,90655287.0,ns,255
Support Vector Classification,Small/Smart,,,,135439523.0,ns,258
Support Vector Classification,Small/Smart,,,,113416611.0,ns,261
Support Vector Classification,Small/Smart,,,,70099096.0,ns,264
Support Vector Classification,Small/Smart,,,,123424753.0,ns,267
Support Vector Classification,Small/Smart,,,,102813461.0,ns,270
Support Vector Classification,Small/Smart,,,,128376524.0,ns,273
Support Vector Classification,Small/Smart,,,,122550241.0,ns,276
Support Vector Classification,Small/Smart,,,,119407596.0,ns,279
Support Vector Classification,Small/Smart,,,,91179195.0,ns,282
Support Vector Classification,Small/Smart,,,,61406372.0,ns,285
Support Vector Classification,Small/Smart,,,,68451673.0,ns,288
Support Vector Classification,Small/Smart,,,,90309283.0,ns,291
Support Vector Classification,Small/Smart,,,,146696084.0,ns,294
Support Vector Classification,Small/Smart,,,,69011480.0,ns,297
Support Vector Classification,Small/Smart,,,,135829230.0,ns,300
