group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Classification,Small/Smart,,,,1340218.0,ns,3
Support Vector Classification,Small/Smart,,,,2902740.0,ns,6
Support Vector Classification,Small/Smart,,,,2427034.0,ns,9
Support Vector Classification,Small/Smart,,,,4440261.0,ns,12
Support Vector Classification,Small/Smart,,,,7375001.0,ns,15
Support Vector Classification,Small/Smart,,,,6771993.0,ns,18
Support Vector Classification,Small/Smart,,,,9808334.0,ns,21
Support Vector Classification,Small/Smart,,,,9877935.0,ns,24
Support Vector Classification,Small/Smart,,,,12451170.0,ns,27
Support Vector Classification,Small/Smart,,,,14093293.0,ns,30
Support Vector Classification,Small/Smart,,,,14628801.0,ns,33
Support Vector Classification,Small/Smart,,,,16748530.0,ns,36
Support Vector Classification,Small/Smart,,,,12604373.0,ns,39
Support Vector Classification,Small/Smart,,,,13103380.0,ns,42
Support Vector Classification,Small/Smart,,,,15957119.0,ns,45
Support Vector Classification,Small/Smart,,,,22988916.0,ns,48
Support Vector Classification,Small/Smart,,,,11246654.0,ns,51
Support Vector Classification,Small/Smart,,,,11569959.0,ns,54
Support Vector Classification,Small/Smart,,,,28984998.0,ns,57
Support Vector Classification,Small/Smart,,,,30070713.0,ns,60
Support Vector Classification,Small/Smart,,,,21880800.0,ns,63
Support Vector Classification,Small/Smart,,,,17449139.0,ns,66
Support Vector Classification,Small/Smart,,,,35650290.0,ns,69
Support Vector Classification,Small/Smart,,,,32782150.0,ns,72
Support Vector Classification,Small/Smart,,,,31122528.0,ns,75
Support Vector Classification,Small/Smart,,,,34085368.0,ns,78
Support Vector Classification,Small/Smart,,,,37816919.0,ns,81
Support Vector Classification,Small/Smart,,,,42861889.0,ns,84
Support Vector Classification,Small/Smart,,,,21472495.0,ns,87
Support Vector Classification,Small/Smart,,,,41878875.0,ns,90
Support Vector Classification,Small/Smart,,,,45264322.0,ns,93
Support Vector Classification,Small/Smart,,,,35259984.0,ns,96
