group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Regression,Medium/Linfa,,,,941110405.0,ns,1
Support Vector Regression,Medium/Linfa,,,,609252438.0,ns,1
Support Vector Regression,Medium/Linfa,,,,577400870.0,ns,1
Support Vector Regression,Medium/Linfa,,,,752544740.0,ns,1
Support Vector Regression,Medium/Linfa,,,,529770818.0,ns,1
Support Vector Regression,Medium/Linfa,,,,787193914.0,ns,1
Support Vector Regression,Medium/Linfa,,,,494563457.0,ns,1
Support Vector Regression,Medium/Linfa,,,,645341847.0,ns,1
Support Vector Regression,Medium/Linfa,,,,743091802.0,ns,1
Support Vector Regression,Medium/Linfa,,,,575622481.0,ns,1
Support Vector Regression,Medium/Linfa,,,,2882257962.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1109914788.0,ns,1
Support Vector Regression,Medium/Linfa,,,,564069620.0,ns,1
Support Vector Regression,Medium/Linfa,,,,726870616.0,ns,1
Support Vector Regression,Medium/Linfa,,,,652492699.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1310326748.0,ns,1
Support Vector Regression,Medium/Linfa,,,,558537621.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1561411295.0,ns,1
Support Vector Regression,Medium/Linfa,,,,991851071.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1313337318.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1314047538.0,ns,1
Support Vector Regression,Medium/Linfa,,,,719224204.0,ns,1
Support Vector Regression,Medium/Linfa,,,,453835287.0,ns,1
Support Vector Regression,Medium/Linfa,,,,652835400.0,ns,1
Support Vector Regression,Medium/Linfa,,,,544239419.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1093046000.0,ns,1
Support Vector Regression,Medium/Linfa,,,,942385447.0,ns,1
Support Vector Regression,Medium/Linfa,,,,529453718.0,ns,1
Support Vector Regression,Medium/Linfa,,,,313763877.0,ns,1
Support Vector Regression,Medium/Linfa,,,,459326862.0,ns,1
Support Vector Regression,Medium/Linfa,,,,446751490.0,ns,1
Support Vector Regression,Medium/Linfa,,,,2640276302.0,ns,1
Support Vector Regression,Medium/Linfa,,,,731544579.0,ns,1
Support Vector Regression,Medium/Linfa,,,,789854374.0,ns,1
Support Vector Regression,Medium/Linfa,,,,549325794.0,ns,1
Support Vector Regression,Medium/Linfa,,,,706444137.0,ns,1
Support Vector Regression,Medium/Linfa,,,,614199178.0,ns,1
Support Vector Regression,Medium/Linfa,,,,804521574.0,ns,1
Support Vector Regression,Medium/Linfa,,,,911381332.0,ns,1
Support Vector Regression,Medium/Linfa,,,,710311889.0,ns,1
Support Vector Regression,Medium/Linfa,,,,409747090.0,ns,1
Support Vector Regression,Medium/Linfa,,,,893666180.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1214412999.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1195969247.0,ns,1
