group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Regression,Medium/Linfa,,,,272133224.0,ns,1
Support Vector Regression,Medium/Linfa,,,,844500059.0,ns,1
Support Vector Regression,Medium/Linfa,,,,13538224038.0,ns,1
Support Vector Regression,Medium/Linfa,,,,506218296.0,ns,1
Support Vector Regression,Medium/Linfa,,,,687991464.0,ns,1
Support Vector Regression,Medium/Linfa,,,,2865245163.0,ns,1
Support Vector Regression,Medium/Linfa,,,,769609298.0,ns,1
Support Vector Regression,Medium/Linfa,,,,2047562305.0,ns,1
Support Vector Regression,Medium/Linfa,,,,2710742361.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1211546319.0,ns,1
Support Vector Regression,Medium/Linfa,,,,505545293.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1602944021.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1365042891.0,ns,1
Support Vector Regression,Medium/Linfa,,,,446758952.0,ns,1
Support Vector Regression,Medium/Linfa,,,,9814575566.0,ns,1
Support Vector Regression,Medium/Linfa,,,,215088885.0,ns,1
Support Vector Regression,Medium/Linfa,,,,828866217.0,ns,1
Support Vector Regression,Medium/Linfa,,,,876539357.0,ns,1
Support Vector Regression,Medium/Linfa,,,,310836870.0,ns,1
Support Vector Regression,Medium/Linfa,,,,987626336.0,ns,1
Support Vector Regression,Medium/Linfa,,,,681947506.0,ns,1
Support Vector Regression,Medium/Linfa,,,,878324802.0,ns,1
Support Vector Regression,Medium/Linfa,,,,360847536.0,ns,1
Support Vector Regression,Medium/Linfa,,,,508663639.0,ns,1
Support Vector Regression,Medium/Linfa,,,,315301187.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1627921771.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1222685802.0,ns,1
Support Vector Regression,Medium/Linfa,,,,449038492.0,ns,1
Support Vector Regression,Medium/Linfa,,,,902788149.0,ns,1
Support Vector Regression,Medium/Linfa,,,,926310339.0,ns,1
Support Vector Regression,Medium/Linfa,,,,828084403.0,ns,1
Support Vector Regression,Medium/Linfa,,,,416694522.0,ns,1
Support Vector Regression,Medium/Linfa,,,,806192419.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1509193913.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1206121196.0,ns,1
Support Vector Regression,Medium/Linfa,,,,565801985.0,ns,1
Support Vector Regression,Medium/Linfa,,,,766565248.0,ns,1
Support Vector Regression,Medium/Linfa,,,,363017395.0,ns,1
Support Vector Regression,Medium/Linfa,,,,946382922.0,ns,1
Support Vector Regression,Medium/Linfa,,,,609683419.0,ns,1
Support Vector Regression,Medium/Linfa,,,,1726662516.0,ns,1
Support Vector Regression,Medium/Linfa,,,,805911636.0,ns,1
Support Vector Regression,Medium/Linfa,,,,2500343690.0,ns,1
Support Vector Regression,Medium/Linfa,,,,623159420.0,ns,1
Support Vector Regression,Medium/Linfa,,,,392512018.0,ns,1
