group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Regression,Medium/Smart,,,,255420114.0,ns,1
Support Vector Regression,Medium/Smart,,,,218851396.0,ns,1
Support Vector Regression,Medium/Smart,,,,224082971.0,ns,1
Support Vector Regression,Medium/Smart,,,,245183870.0,ns,1
Support Vector Regression,Medium/Smart,,,,280943175.0,ns,1
Support Vector Regression,Medium/Smart,,,,368216710.0,ns,1
Support Vector Regression,Medium/Smart,,,,268487800.0,ns,1
Support Vector Regression,Medium/Smart,,,,216769668.0,ns,1
Support Vector Regression,Medium/Smart,,,,236134241.0,ns,1
Support Vector Regression,Medium/Smart,,,,361998122.0,ns,1
Support Vector Regression,Medium/Smart,,,,244552360.0,ns,1
Support Vector Regression,Medium/Smart,,,,232975697.0,ns,1
Support Vector Regression,Medium/Smart,,,,414129260.0,ns,1
Support Vector Regression,Medium/Smart,,,,304672811.0,ns,1
Support Vector Regression,Medium/Smart,,,,292628041.0,ns,1
Support Vector Regression,Medium/Smart,,,,248163812.0,ns,1
Support Vector Regression,Medium/Smart,,,,427995957.0,ns,1
Support Vector Regression,Medium/Smart,,,,424373805.0,ns,1
Support Vector Regression,Medium/Smart,,,,313707139.0,ns,1
Support Vector Regression,Medium/Smart,,,,291161420.0,ns,1
Support Vector Regression,Medium/Smart,,,,209311562.0,ns,1
Support Vector Regression,Medium/Smart,,,,251512559.0,ns,1
Support Vector Regression,Medium/Smart,,,,326908326.0,ns,1
Support Vector Regression,Medium/Smart,,,,293662956.0,ns,1
Support Vector Regression,Medium/Smart,,,,467385813.0,ns,1
Support Vector Regression,Medium/Smart,,,,196134676.0,ns,1
Support Vector Regression,Medium/Smart,,,,245384004.0,ns,1
Support Vector Regression,Medium/Smart,,,,212977370.0,ns,1
Support Vector Regression,Medium/Smart,,,,313415218.0,ns,1
Support Vector Regression,Medium/Smart,,,,350303049.0,ns,1
Support Vector Regression,Medium/Smart,,,,158284482.0,ns,1
Support Vector Regression,Medium/Smart,,,,229335706.0,ns,1
Support Vector Regression,Medium/Smart,,,,231011330.0,ns,1
Support Vector Regression,Medium/Smart,,,,210789639.0,ns,1
Support Vector Regression,Medium/Smart,,,,351225663.0,ns,1
Support Vector Regression,Medium/Smart,,,,227748783.0,ns,1
Support Vector Regression,Medium/Smart,,,,405639947.0,ns,1
Support Vector Regression,Medium/Smart,,,,293640033.0,ns,1
Support Vector Regression,Medium/Smart,,,,313424018.0,ns,1
Support Vector Regression,Medium/Smart,,,,349067232.0,ns,1
Support Vector Regression,Medium/Smart,,,,367495897.0,ns,1
Support Vector Regression,Medium/Smart,,,,267653658.0,ns,1
Support Vector Regression,Medium/Smart,,,,324827282.0,ns,1
Support Vector Regression,Medium/Smart,,,,268154466.0,ns,1
Support Vector Regression,Medium/Smart,,,,250994618.0,ns,1
Support Vector Regression,Medium/Smart,,,,205652265.0,ns,1
Support Vector Regression,Medium/Smart,,,,384645945.0,ns,1
Support Vector Regression,Medium/Smart,,,,177524359.0,ns,1
Support Vector Regression,Medium/Smart,,,,527646706.0,ns,1
Support Vector Regression,Medium/Smart,,,,266532142.0,ns,1
Support Vector Regression,Medium/Smart,,,,164920277.0,ns,1
Support Vector Regression,Medium/Smart,,,,264606414.0,ns,1
Support Vector Regression,Medium/Smart,,,,219191260.0,ns,1
Support Vector Regression,Medium/Smart,,,,279332727.0,ns,1
Support Vector Regression,Medium/Smart,,,,250803715.0,ns,1
Support Vector Regression,Medium/Smart,,,,194757644.0,ns,1
Support Vector Regression,Medium/Smart,,,,419527109.0,ns,1
Support Vector Regression,Medium/Smart,,,,258647644.0,ns,1
Support Vector Regression,Medium/Smart,,,,185816718.0,ns,1
Support Vector Regression,Medium/Smart,,,,472646357.0,ns,1
Support Vector Regression,Medium/Smart,,,,338074162.0,ns,1
Support Vector Regression,Medium/Smart,,,,269967003.0,ns,1
Support Vector Regression,Medium/Smart,,,,271233920.0,ns,1
Support Vector Regression,Medium/Smart,,,,273572154.0,ns,1
Support Vector Regression,Medium/Smart,,,,296847981.0,ns,1
Support Vector Regression,Medium/Smart,,,,299712922.0,ns,1
Support Vector Regression,Medium/Smart,,,,262188993.0,ns,1
Support Vector Regression,Medium/Smart,,,,361614993.0,ns,1
Support Vector Regression,Medium/Smart,,,,273826657.0,ns,1
Support Vector Regression,Medium/Smart,,,,274249862.0,ns,1
Support Vector Regression,Medium/Smart,,,,202291649.0,ns,1
Support Vector Regression,Medium/Smart,,,,379445145.0,ns,1
Support Vector Regression,Medium/Smart,,,,345306064.0,ns,1
Support Vector Regression,Medium/Smart,,,,275939686.0,ns,1
Support Vector Regression,Medium/Smart,,,,313940422.0,ns,1
Support Vector Regression,Medium/Smart,,,,252297153.0,ns,1
Support Vector Regression,Medium/Smart,,,,290871597.0,ns,1
Support Vector Regression,Medium/Smart,,,,212539794.0,ns,1
Support Vector Regression,Medium/Smart,,,,401596457.0,ns,1
Support Vector Regression,Medium/Smart,,,,276801399.0,ns,1
Support Vector Regression,Medium/Smart,,,,438058970.0,ns,1
Support Vector Regression,Medium/Smart,,,,484614005.0,ns,1
Support Vector Regression,Medium/Smart,,,,346767362.0,ns,1
Support Vector Regression,Medium/Smart,,,,215162518.0,ns,1
Support Vector Regression,Medium/Smart,,,,314473710.0,ns,1
Support Vector Regression,Medium/Smart,,,,400391514.0,ns,1
Support Vector Regression,Medium/Smart,,,,263374993.0,ns,1
Support Vector Regression,Medium/Smart,,,,327756196.0,ns,1
Support Vector Regression,Medium/Smart,,,,253549555.0,ns,1
Support Vector Regression,Medium/Smart,,,,213582895.0,ns,1
Support Vector Regression,Medium/Smart,,,,278600607.0,ns,1
Support Vector Regression,Medium/Smart,,,,430339834.0,ns,1
Support Vector Regression,Medium/Smart,,,,405793690.0,ns,1
Support Vector Regression,Medium/Smart,,,,360861960.0,ns,1
Support Vector Regression,Medium/Smart,,,,359989848.0,ns,1
Support Vector Regression,Medium/Smart,,,,349521801.0,ns,1
Support Vector Regression,Medium/Smart,,,,312755186.0,ns,1
Support Vector Regression,Medium/Smart,,,,183229269.0,ns,1
Support Vector Regression,Medium/Smart,,,,453492959.0,ns,1
Support Vector Regression,Medium/Smart,,,,186059909.0,ns,1
