group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Regression,Small/Linfa,,,,77938086.0,ns,19
Support Vector Regression,Small/Linfa,,,,27459561.0,ns,19
Support Vector Regression,Small/Linfa,,,,183825278.0,ns,19
Support Vector Regression,Small/Linfa,,,,28254233.0,ns,19
Support Vector Regression,Small/Linfa,,,,119132980.0,ns,19
Support Vector Regression,Small/Linfa,,,,75321552.0,ns,19
Support Vector Regression,Small/Linfa,,,,21261306.0,ns,19
Support Vector Regression,Small/Linfa,,,,39098905.0,ns,19
Support Vector Regression,Small/Linfa,,,,187647521.0,ns,19
Support Vector Regression,Small/Linfa,,,,29578151.0,ns,19
Support Vector Regression,Small/Linfa,,,,161399868.0,ns,19
Support Vector Regression,Small/Linfa,,,,284655317.0,ns,19
Support Vector Regression,Small/Linfa,,,,30106799.0,ns,19
Support Vector Regression,Small/Linfa,,,,31229300.0,ns,19
Support Vector Regression,Small/Linfa,,,,62533606.0,ns,19
Support Vector Regression,Small/Linfa,,,,60318107.0,ns,19
Support Vector Regression,Small/Linfa,,,,20807965.0,ns,19
Support Vector Regression,Small/Linfa,,,,54817414.0,ns,19
Support Vector Regression,Small/Linfa,,,,51724137.0,ns,19
Support Vector Regression,Small/Linfa,,,,42347996.0,ns,19
Support Vector Regression,Small/Linfa,,,,44806017.0,ns,19
Support Vector Regression,Small/Linfa,,,,117208607.0,ns,19
Support Vector Regression,Small/Linfa,,,,43053559.0,ns,19
Support Vector Regression,Small/Linfa,,,,42887745.0,ns,19
Support Vector Regression,Small/Linfa,,,,37571468.0,ns,19
Support Vector Regression,Small/Linfa,,,,48477346.0,ns,19
Support Vector Regression,Small/Linfa,,,,29174816.0,ns,19
Support Vector Regression,Small/Linfa,,,,42874744.0,ns,19
Support Vector Regression,Small/Linfa,,,,93014538.0,ns,19
Support Vector Regression,Small/Linfa,,,,28307638.0,ns,19
Support Vector Regression,Small/Linfa,,,,73414382.0,ns,19
Support Vector Regression,Small/Linfa,,,,905102037.0,ns,19
Support Vector Regression,Small/Linfa,,,,20668552.0,ns,19
Support Vector Regression,Small/Linfa,,,,61006369.0,ns,19
Support Vector Regression,Small/Linfa,,,,53640308.0,ns,19
Support Vector Regression,Small/Linfa,,,,37758185.0,ns,19
Support Vector Regression,Small/Linfa,,,,159416591.0,ns,19
Support Vector Regression,Small/Linfa,,,,48438642.0,ns,19
