group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Regression,Small/Linfa,,,,7800207.0,ns,4
Support Vector Regression,Small/Linfa,,,,57918794.0,ns,4
Support Vector Regression,Small/Linfa,,,,31080826.0,ns,4
Support Vector Regression,Small/Linfa,,,,2707837.0,ns,4
Support Vector Regression,Small/Linfa,,,,18696956.0,ns,4
Support Vector Regression,Small/Linfa,,,,10543644.0,ns,4
Support Vector Regression,Small/Linfa,,,,12205767.0,ns,4
Support Vector Regression,Small/Linfa,,,,6683892.0,ns,4
Support Vector Regression,Small/Linfa,,,,8048511.0,ns,4
Support Vector Regression,Small/Linfa,,,,5929581.0,ns,4
Support Vector Regression,Small/Linfa,,,,6140784.0,ns,4
Support Vector Regression,Small/Linfa,,,,8006810.0,ns,4
Support Vector Regression,Small/Linfa,,,,4481061.0,ns,4
Support Vector Regression,Small/Linfa,,,,2842339.0,ns,4
Support Vector Regression,Small/Linfa,,,,3252945.0,ns,4
Support Vector Regression,Small/Linfa,,,,12552472.0,ns,4
Support Vector Regression,Small/Linfa,,,,5489675.0,ns,4
Support Vector Regression,Small/Linfa,,,,5412774.0,ns,4
Support Vector Regression,Small/Linfa,,,,13475285.0,ns,4
Support Vector Regression,Small/Linfa,,,,4571063.0,ns,4
Support Vector Regression,Small/Linfa,,,,8964223.0,ns,4
Support Vector Regression,Small/Linfa,,,,11365856.0,ns,4
Support Vector Regression,Small/Linfa,,,,4112657.0,ns,4
Support Vector Regression,Small/Linfa,,,,15898618.0,ns,4
Support Vector Regression,Small/Linfa,,,,5958182.0,ns,4
Support Vector Regression,Small/Linfa,,,,3677051.0,ns,4
Support Vector Regression,Small/Linfa,,,,22307006.0,ns,4
Support Vector Regression,Small/Linfa,,,,9529231.0,ns,4
Support Vector Regression,Small/Linfa,,,,7313901.0,ns,4
Support Vector Regression,Small/Linfa,,,,3577049.0,ns,4
Support Vector Regression,Small/Linfa,,,,5017569.0,ns,4
Support Vector Regression,Small/Linfa,,,,7849508.0,ns,4
Support Vector Regression,Small/Linfa,,,,4726765.0,ns,4
Support Vector Regression,Small/Linfa,,,,3193744.0,ns,4
Support Vector Regression,Small/Linfa,,,,10454144.0,ns,4
Support Vector Regression,Small/Linfa,,,,4799166.0,ns,4
Support Vector Regression,Small/Linfa,,,,3276445.0,ns,4
Support Vector Regression,Small/Linfa,,,,10837049.0,ns,4
Support Vector Regression,Small/Linfa,,,,8670519.0,ns,4
Support Vector Regression,Small/Linfa,,,,14233196.0,ns,4
Support Vector Regression,Small/Linfa,,,,3630950.0,ns,4
Support Vector Regression,Small/Linfa,,,,3815352.0,ns,4
Support Vector Regression,Small/Linfa,,,,10834349.0,ns,4
Support Vector Regression,Small/Linfa,,,,4574563.0,ns,4
Support Vector Regression,Small/Linfa,,,,6192485.0,ns,4
Support Vector Regression,Small/Linfa,,,,7155398.0,ns,4
Support Vector Regression,Small/Linfa,,,,8998323.0,ns,4
Support Vector Regression,Small/Linfa,,,,6170284.0,ns,4
Support Vector Regression,Small/Linfa,,,,7007996.0,ns,4
Support Vector Regression,Small/Linfa,,,,16390225.0,ns,4
Support Vector Regression,Small/Linfa,,,,6024783.0,ns,4
Support Vector Regression,Small/Linfa,,,,53320531.0,ns,4
Support Vector Regression,Small/Linfa,,,,16130721.0,ns,4
