group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Regression,Small/Smart,,,,912913.0,ns,1
Support Vector Regression,Small/Smart,,,,2416434.0,ns,2
Support Vector Regression,Small/Smart,,,,3331746.0,ns,3
Support Vector Regression,Small/Smart,,,,2092829.0,ns,4
Support Vector Regression,Small/Smart,,,,6852995.0,ns,5
Support Vector Regression,Small/Smart,,,,5725280.0,ns,6
Support Vector Regression,Small/Smart,,,,4686865.0,ns,7
Support Vector Regression,Small/Smart,,,,23666128.0,ns,8
Support Vector Regression,Small/Smart,,,,20473283.0,ns,9
Support Vector Regression,Small/Smart,,,,11329457.0,ns,10
Support Vector Regression,Small/Smart,,,,6650192.0,ns,11
Support Vector Regression,Small/Smart,,,,20680686.0,ns,12
Support Vector Regression,Small/Smart,,,,16792832.0,ns,13
Support Vector Regression,Small/Smart,,,,25997160.0,ns,14
Support Vector Regression,Small/Smart,,,,44554217.0,ns,15
Support Vector Regression,Small/Smart,,,,72852109.0,ns,16
Support Vector Regression,Small/Smart,,,,39966954.0,ns,17
Support Vector Regression,Small/Smart,,,,51063307.0,ns,18
Support Vector Regression,Small/Smart,,,,45064724.0,ns,19
Support Vector Regression,Small/Smart,,,,15248511.0,ns,20
Support Vector Regression,Small/Smart,,,,19303567.0,ns,21
Support Vector Regression,Small/Smart,,,,55159864.0,ns,22
Support Vector Regression,Small/Smart,,,,81976735.0,ns,23
Support Vector Regression,Small/Smart,,,,57491796.0,ns,24
Support Vector Regression,Small/Smart,,,,50334397.0,ns,25
Support Vector Regression,Small/Smart,,,,8729321.0,ns,26
Support Vector Regression,Small/Smart,,,,58873415.0,ns,27
Support Vector Regression,Small/Smart,,,,32274047.0,ns,28
Support Vector Regression,Small/Smart,,,,61403551.0,ns,29
Support Vector Regression,Small/Smart,,,,30598924.0,ns,30
Support Vector Regression,Small/Smart,,,,81610831.0,ns,31
Support Vector Regression,Small/Smart,,,,57676599.0,ns,32
Support Vector Regression,Small/Smart,,,,13639689.0,ns,33
Support Vector Regression,Small/Smart,,,,81400027.0,ns,34
Support Vector Regression,Small/Smart,,,,150479084.0,ns,35
Support Vector Regression,Small/Smart,,,,61809456.0,ns,36
Support Vector Regression,Small/Smart,,,,32513751.0,ns,37
Support Vector Regression,Small/Smart,,,,132545936.0,ns,38
Support Vector Regression,Small/Smart,,,,27501580.0,ns,39
Support Vector Regression,Small/Smart,,,,78106282.0,ns,40
Support Vector Regression,Small/Smart,,,,47427857.0,ns,41
Support Vector Regression,Small/Smart,,,,51864218.0,ns,42
Support Vector Regression,Small/Smart,,,,66728525.0,ns,43
Support Vector Regression,Small/Smart,,,,58879316.0,ns,44
Support Vector Regression,Small/Smart,,,,89354438.0,ns,45
Support Vector Regression,Small/Smart,,,,67869041.0,ns,46
Support Vector Regression,Small/Smart,,,,58264607.0,ns,47
Support Vector Regression,Small/Smart,,,,185833074.0,ns,48
Support Vector Regression,Small/Smart,,,,155966961.0,ns,49
Support Vector Regression,Small/Smart,,,,110114925.0,ns,50
