group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Regression,Small/Smart,,,,64492780.0,ns,18
Support Vector Regression,Small/Smart,,,,83798011.0,ns,18
Support Vector Regression,Small/Smart,,,,72953738.0,ns,18
Support Vector Regression,Small/Smart,,,,41418413.0,ns,18
Support Vector Regression,Small/Smart,,,,71323992.0,ns,18
Support Vector Regression,Small/Smart,,,,15906926.0,ns,18
Support Vector Regression,Small/Smart,,,,15698307.0,ns,18
Support Vector Regression,Small/Smart,,,,25508086.0,ns,18
Support Vector Regression,Small/Smart,,,,39175612.0,ns,18
Support Vector Regression,Small/Smart,,,,75870500.0,ns,18
Support Vector Regression,Small/Smart,,,,11856762.0,ns,18
Support Vector Regression,Small/Smart,,,,42294691.0,ns,18
Support Vector Regression,Small/Smart,,,,39628652.0,ns,18
Support Vector Regression,Small/Smart,,,,22173787.0,ns,18
Support Vector Regression,Small/Smart,,,,14394490.0,ns,18
Support Vector Regression,Small/Smart,,,,23800533.0,ns,18
Support Vector Regression,Small/Smart,,,,102490886.0,ns,18
Support Vector Regression,Small/Smart,,,,45859811.0,ns,18
Support Vector Regression,Small/Smart,,,,13974652.0,ns,18
Support Vector Regression,Small/Smart,,,,50278206.0,ns,18
Support Vector Regression,Small/Smart,,,,42647422.0,ns,18
Support Vector Regression,Small/Smart,,,,64300463.0,ns,18
Support Vector Regression,Small/Smart,,,,39898776.0,ns,18
Support Vector Regression,Small/Smart,,,,31167693.0,ns,18
Support Vector Regression,Small/Smart,,,,49250114.0,ns,18
Support Vector Regression,Small/Smart,,,,22181688.0,ns,18
Support Vector Regression,Small/Smart,,,,62879836.0,ns,18
Support Vector Regression,Small/Smart,,,,19810375.0,ns,18
Support Vector Regression,Small/Smart,,,,38230126.0,ns,18
Support Vector Regression,Small/Smart,,,,30770458.0,ns,18
Support Vector Regression,Small/Smart,,,,52132472.0,ns,18
Support Vector Regression,Small/Smart,,,,70361106.0,ns,18
Support Vector Regression,Small/Smart,,,,29231620.0,ns,18
Support Vector Regression,Small/Smart,,,,20386527.0,ns,18
Support Vector Regression,Small/Smart,,,,35483980.0,ns,18
Support Vector Regression,Small/Smart,,,,60071484.0,ns,18
Support Vector Regression,Small/Smart,,,,26689192.0,ns,18
Support Vector Regression,Small/Smart,,,,26493075.0,ns,18
Support Vector Regression,Small/Smart,,,,9853783.0,ns,18
Support Vector Regression,Small/Smart,,,,34155862.0,ns,18
Support Vector Regression,Small/Smart,,,,54165255.0,ns,18
Support Vector Regression,Small/Smart,,,,84158243.0,ns,18
Support Vector Regression,Small/Smart,,,,31895059.0,ns,18
Support Vector Regression,Small/Smart,,,,34711011.0,ns,18
Support Vector Regression,Small/Smart,,,,15736511.0,ns,18
Support Vector Regression,Small/Smart,,,,41901156.0,ns,18
